Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"
11/23/2022 0:04:26,Lydia F De la Torre,@DLT@sfba.social,No,"Data protection, privacy, AI","EU, US, California ",Adjunct at UC Davis & UC Hastings / Board Member California Privacy Protection Agency,Yes

11/23/2022 1:38:27,Inner Temple Library,@inner_temple@mastodonapp.uk,@inner_temple,Inn of Court Library ,UK,,Yes

11/23/2022 3:32:29,Matina Papadaki,@matinapapadaki@mstdn.party,@MatinaPapadaki,public international law,,,Yes

11/23/2022 4:02:04,Charlotte Sieber-Gasser,@ChSieberGasser@c.im,@ChSieberGasser,"legal theory, law of sustainable development, international economic law, constitutional law","Switzerland, EU, US and developing countries",Senior Researcher and Lecturer,Yes

11/23/2022 4:39:15,Hyo Yoon Kang,@hyoyoonkang@h-net.social,hyoyoonkang,"IP law, critical political economy, law and humanities",,"Reader in Law, Warwick Law School, UK",No

11/23/2022 6:20:16,Green Legal Impact Germany e.V.,@GreenLegal_EU@bewegung.social,@GreenLegal_EU,Environmental law,Germany & European Union,"Green Legal Impact (GLI) is a new actor that wants to help the environment to get its rights. We work in the field of environmental protection including consumer, animal and human rights protection.",Yes

11/23/2022 8:19:36,DPO,@DataProtectionNerd@mastodon.social,-,Data Protection Law; Information Law; Cybersecurity Law,EU/EEA,-,Yes

11/23/2022 8:44:36,CiarÃ¡n O'Kelly,@ctokelly@mastodon.ie,@ctokelly,"Business and human rights, law and technology, corporate governance, accountability",Global,"Senior Lecturer and coordinator LLM Law and Technlogy, Queen's University Belfast",Yes

11/23/2022 10:42:09,Shuyi Oei,@oei@mastodon.lawprofs.org,@shuyioei,tax; regulation,all,,Yes

11/23/2022 17:07:09,Rachel Sachs,@RachelSachs@mastodon.lawprofs.org,@RESachs,"Health Law, patent law, food and drug law",,,Yes

11/23/2022 18:31:26,Ramsi Woodcock,@zephyranth,@RamsiWoodcock,"Antitrust, Law and Economics, Law and Technology, Pricing",,,No

11/23/2022 19:04:21,Kate Silbaugh,@katesilbaugh@mastodon.lawprofs.org,@kbsilbaugh,"youth, family, politics",,,Yes

11/24/2022 2:31:41,Marco Buzzoni,@mbmastodon@toot.aquilenet.fr,,"Private international law, Procedural law","US, France, Italy, England & Wales, Ireland, Luxembourg",Research Fellow at MPI Luxembourg for Procedural Law,No

11/24/2022 8:20:19,Patrizia Rinaldi,@prinaldi@sciences.social,@patriziarn,"Migration Law, Children's Rights and European Asylum Law",Europe,"Expert on migrant children's rights, human rights and contemporary migration",Yes

11/24/2022 10:50:38,Maksim Karliuk,@karliuk@oslo.town,@maksimkarliuk,"international law, regional integration, philosophy, punishment, ethics","International, EU, Eurasia","Creating a culture of justice with the International Development Law Organization (IDLO). Working at the intersection of law, policy & philosophy. Formerly UNESCO & Sciences Po in Paris.",Yes

11/24/2022 11:50:50,Mary Lia Reiter,@ConstitutiveLaw@masthead.social,@ConstitutiveLaw,Sociology of Law/Criminal Justice,USA/Ohio,Professor,Yes

11/24/2022 12:02:41,Marsha Griggs,@MarshaGriggs@mastodon.lawprofs.org,@ProfessorGriggs,"Professional Responsibility, Licensure Regulation ",,WASHBURN SCHOOL OF LAW ,Yes

11/24/2022 12:52:15,Obi-Wine Kenobi,@obiwine@esq.social,ObiWine_Kenobi,"National security, sanctions, FDI, transactional",,,Yes

11/24/2022 17:43:05,Joanna George,@HeyitsJG@mastodon.world,@Joanna__George,"Constitutional Law, Human Rights Law, Media Law",,,Yes

11/25/2022 5:47:05,Bettina Steible,@bsteible@mastodon.lawprofs.org,https://twitter.com/BettinaSteible,European constitutional law; European human rights law; Human rights and Climate change,Europe,,Yes

11/25/2022 10:29:23,Caroline Mala Corbin,@CarolineMalaCorbin@mastadon.lawprofs.org,@CarolineMCorbin,"First Amendment, speech, religion, constitutional law, repro rights/repro justice, LGBTQ rights ",United States,,Yes

11/25/2022 11:49:16,Joshua Engel,@joshuaengel@esq.social,@joshuaadamengel,"Civil Rights, Appellate Law, Title IX, Criminal","U.S. Federal, Ohio","Former Prosecutor, now Managing Partner of Engel & Martin, LLC",Yes

11/25/2022 12:39:54,Andrew Jennings,@akjennings@mastodon.lawprofs.org,@akjennings,"Corporate law, securities regulation, white-collar crime",United States,"Assistant Professor, Brooklyn Law School; Host, Business Scholarship Podcast",Yes

11/25/2022 13:59:44,Bartolome Mayol,@tolom@mastodon.cloud,,"Real Estate, Civil Law, Property Law",Spain,,Yes

11/25/2022 23:25:34,Trace Rabern,@Trabern,@Trabernlaw,Criminal Law,"NM, Tribal Law, Fed Appellate","Tribal Court Judge, Criminal Justice Prof at SFCC",Yes

11/26/2022 19:57:15,DEAN WALLRAFF,@deanraff@ieji.de,@DeanWallraff,"Climate, environmental","US, EU",Climate lawyer who uses California EIA law (CEQA) to nudge development projects toward being net-zero on GHGs,Yes

11/28/2022 7:18:10,Christopher Hopkins,@cbhopkins@mas.to,@cbhopkins,"privacy, defamation, tech, ethics, constitutional",Florida,lawyer / adjunct at Florida Atlantic University,Yes

11/28/2022 13:56:03,David Thomson,@dicthomson@mastodon.lawprofs.org,@dicthomson,"#LegalEd, #LRW, #DiscoveryLaw",,"Author, The Way Forward for Legal Education (Carolina), and Law School 2.0 (LexisNexis).",Yes

11/28/2022 16:30:48,Florian Wagner-von Papp,@FlorianWvP@mastodon.lawprofs.org,,"Antitrust, Competition Law, Comparative Law, Contract Law and Contract Design, Law & Economics","US, EU, Germany, UK, France, Japan",,Yes

11/29/2022 19:28:28,Traci,@LawyerMomof2@mastodon.world,,Cross border and commercial litigation ,"Florida, LatAm","Biglaw, women litigators ",Yes

12/1/2022 10:45:54,Silvie,@Silvie813@mas.to,,"Internanional estates and trusts, land transfers",Italy/us,"Bi lingual fluent English Italian, estates and trusts",Yes

12/1/2022 12:22:28,Jeremy Telman,@KProfsBlog@vivaldi.net,https://twitter.com/KProfsBlog,"Contracts, Constitutional Law, Legal Positivism",U.S.,"I mostly post links to posts on the ContractsProf Blog, but my interests include constitutional law, international law, and jurisprudence.",Yes

12/1/2022 13:27:29,Matt Blaze,@mattblaze@federate.social,@mattblaze,Technology and Policy,US,"Computer scientist by training, professor at Georgetown Law",Yes

12/1/2022 13:33:43,Stav Zeitouni,@stzeitouni@hed.im,@stzeitouni,"privacy, copyright, law & psychology","US, Israel, EU",JSD candidate at NYU law,Yes

12/2/2022 1:25:23,Joshua F. Gonzales,@j@joshua.law,,"Contracts, commercial litigation","California, Washington, 9th Circuit","Iâm a new attorney with a background in cloud server administration. Iâm licensed to practice in California and Washington, and I live in Seattle. I run my own Mastodon instance (and similar applications) on cloud infrastructure.",Yes

12/2/2022 11:15:24,Kevin Thompson,@cyberlaw@esq.social,@cyberlaw,"Internet, trademark, and copyright law","Illinois, Federal","I focus on the digital world, its impact, and legal framework. My day to day work is helping creative people do fun things, and protecting them along the way.",Yes

12/4/2022 0:13:51,Ann M. Murphy,@murphtrials@sfba.social,@murphtrials,"Tax law, federal civil procedure, federal evidence, federal trials",U.S.,"Professor, Gonzaga Law School",Yes

12/4/2022 19:29:52,Ellen S Podgor,@whitecollarprof,@whitecollarprof,"white collar crime, criminal law",,,Yes

12/4/2022 22:18:32,Alicia Schmidt,@AliciaSchmidt@esq.social,aliciadschmidt,"Digital assets, financial crime, confiscations, money laundering, AML/CTF",,PhD Candidate the Australian National University,Yes

12/5/2022 14:36:30,Deborah Widiss,@DeborahWidiss@mastodon.lawprofs.org,@DeborahWidiss,"Employment, family law, statutory interpretation",US & Australia,"Prof & Assoc. Dean for Research, Indiana Univ. Maurer ",Yes

12/5/2022 19:47:13,Victoria Esposito ,@proudadvocate@masthead.social,Proudadvocate,Legal research and writing; client interviewing and counseling; law and poverty; housing; disability; access to justice ,New York; federal (particularly 2nd Circuit),,Yes

12/5/2022 19:47:45,Jill,@JillyJill@mastodon.social,,Social welfare policy,,"Ph.D. in Social Work with emphasis on domestic social policy, economics, and justice. ",Yes

12/5/2022 21:06:07,Trace Rabern,@Trabern@mas.to,@Trabernlaw,"Criminal Law, Indian Law,  Childrenâs courts, Healing to Wellness courts","New Mexico, SCOTUS","Tribal court judge, crim law prof, appellican",Yes

12/5/2022 23:37:21,Jen Randolph Reise,@JensJourneyOn@mstdn.party,@JensJourneyOn,Securities; cannabis business law,Minnesota,Business lawyer; former law prof. Passionate about teaching transactional skills and that we can make law better for lawyers and clients. ,Yes

12/6/2022 2:44:10,Phoebe Li,@Phoebe@Mastodon.lawprofs.org,@Pillrabbit,"Patents, Intellectual property; technology regulation ",UK; EU; US; Asia/Taiwan ,Co-Director of the Sussex Centre for Information Governance Research; working on AI regulation and post-Brexit digital service trade ,Yes

12/6/2022 9:03:49,Kelly Roskam,@kellyewroskam@nerdculture.de,@kellyewroskam,Firearms Law ,,,Yes

12/7/2022 11:30:08,Heather Baxter,@ProfBaxter@mastodon.social,@ProfBax,"Legal writing, criminal procedure, appellate advocacy, moot court","Florida, Kentucky",Director of Legal research and writing at Nova Southeastern University. ,Yes

12/7/2022 16:36:46,Salil Mehra,@salilM@techhub.social,,"antitrust, competition, law and economics","USA, Japan, European Union, China, India","law professor at Temple University, Beasley School of Law, Philadelphia, USA",Yes

12/10/2022 17:37:21,Patrick Stickney,@patrickstickney@mast.to,,"Public law generally, but with focus on: admin law; state constitutional law; civil+human rights; securities regulation; municipal+environmental law ",Washington State/Federal,State government attorney and local ACS chapter leader ,Yes

12/11/2022 0:38:43,Corey Rayburn Yung,@coreyrayburnyung@mastodon.lawprofs.org,@coreyryung,"Criminal Law, Law & Courts, Sexual Violence, Empirical Legal Studies",United States,Professor at the University of Kansas School of Law,Yes

12/12/2022 11:41:31,Muge Onal Baser,@mugeonal@techhub.social,No,"Corporate & business law, law & technology","US, EU",www.mugeonal.com,Yes

12/12/2022 14:07:02,Alexander Ignatiev,@AlexIgnatiev@mastodon.sdf.org,@AlexIgnatiev,"Criminal law, abolition","Mississippi, 5th Circuit, SCOTUS",,Yes

12/12/2022 14:43:07,Chris Dudding,@Dudding@mstdn.social,@DuddingChris,Environmental Administrative and Criminal Law,Federal,"I like Tolkien, woodworking and BBQ. Enjoy following history/art/culture/absurdity. Dad jokes are high art.",Yes

12/12/2022 17:02:07,David Fryman,@davidjfryman@mastodon.world,@davidjfryman,"Litigation, contracts, business divorce",New York,Litigation lawyer for startups & entrepreneurs,Yes

12/12/2022 17:39:56,Danielle Lucksted,@dlucksted@sciences.social,@daniellelucks,"International law, human rights law, law and society","EU, international",PhD Student ,Yes

12/12/2022 18:46:39,David Schraub,@schraubd@mastodon.lawprofs.org,@schraubd,"Constitutional Law, anti-discrimination law",,Law prof at Lewis & Clark,Yes

12/12/2022 21:04:20,Jo Lown,@JLownlaw@mstdn.com,@JLownLaw,"Employment, civil rights, civil liberties, environment ",,,Yes

12/13/2022 9:41:42,Jyrki Kuoppala,@JyrkiKuoppala@vivaldi.net,JyrkiKuoppala,"Neurodiversity, disablity, equality, discrimination","Finland,EU,All",,No

12/13/2022 11:12:37,Mithradates,@mithradatesvi@oliphaunt.social,MithradatesVi,"health law, contracts, ethics",Texas,Clinical law prof,Yes

12/13/2022 11:23:47,Eric J. Ryan,@ericryan@oliphaunt.social,@ericjryanlaw,"Business Law, Contracts, Business Formation, Litigation",Illinois,"21+ year attorney in Northern Illinois, serving mainly small to mid-sized business clients.",Yes

12/13/2022 14:40:02,Casey Hewitt ,@hewittlaw@mastodon.social,@cahwit,"IP, trade, e-commerce",,IP lawyer focusing on infringement defense,Yes

12/13/2022 17:06:44,Katrina Geddes,@kat_geddes@mastodon.social,@kat_geddes,"law and technology, intellectual property",USA,,Yes

12/13/2022 19:50:25,Chris Edwards,@csedwards@mastodon.social,@ChrisEdwardsCA4,"Appellate Practice, Shareholder Disputes","North Carolina, Federal Appellate Courts ",,Yes

12/13/2022 23:26:34,Debbie Mia,@TheDebbieMia@mastodon.sdf.org,TheDebbieMia,"Technology, civil litigation, taxes",US,Software Engineer and Law Clerk rolled into one,Yes

12/14/2022 16:00:16,Papinian,@Simplypapinian@esq.social,@SimplyPapinian,"UK Law, EU Law, Canada Law, Roman Law",UK and Canada,No longer practicing,Yes

12/14/2022 17:20:45,Stepan Wood,@stepanwood@mastodon.social,@StepanWood,"Environmental law, climate change, transnational law, law & society","Canada, global",,Yes

12/15/2022 1:17:26,Will Fischer,@Will Fischer@willfischer@mastodon.world,no,"constitutional law, legal theory, biophysical economics, psychiatry",all,"currently practicing medicine; former clerk in SDIowa, Ninth Circuit",No

12/15/2022 22:43:54,Jacob Schuman,@profschuman@mastodon.lawprofs.org,ProfSchuman,"Criminal Law, Sentencing, Community Supervision, Evidence",,,Yes

12/15/2022 23:56:07,Jake Charles ,@jacobdcharles@mastodon.lawprofs.org,@JacobDCharles,"Second amendment, firearms law, constitutional law, torts ",,,Yes

12/16/2022 1:00:54,James Hazard,@CommonAccord@law.builders,@CommonAccord,Open sourcing model legal documents,"US, California, France",In Berkeley.,Yes

12/16/2022 8:25:33,Daniel Lyons,@ProfDanielLyons@mastodon.lawprofs.org,@ProfDanielLyons,"Telecom, tech policy, energy, admin law",United States,"Professor, Boston College Law School; Nonresident Senior Fellow, American Enterprise Institute",Yes

12/16/2022 10:52:50,Jacob Schumer,@jacobschumer@esq.social,,"Local government, constitutional law",Florida,Small firm lawyer focusing on general counsel work and litigation for small local governments.,Yes

12/16/2022 11:06:38,Sean Rehaag,@SeanRehaag@mas.to,@SeanRehaag,"Refugee Law, Immigration Law, Law & Tech, Computational Law, Gender/Sexuality",Canada,,Yes

12/16/2022 11:39:22,Zach Outzen,@zrmoutzen@esq.social,@ZachOutzen,"Veterans' justice, health justice, public benefits, poverty law, admin law",U.S.,"Equal Justice Works Fellow/Staff Attorney at the National Veterans Legal Services Program fighting disabled poverty in veterans. Into climbing, snowboarding, cooking/baking, indie music, guitar, Bay Area sports.",Yes

12/16/2022 13:15:37,Andrew Guthrie Ferguson,@ProfFerguson@mastodon.lawprofs.org,@ProfFerguson,"Criminal Procedure, Evidence, Tech, Privacy ",,"Focus on tech, criminal justice, and surveillance with a deep love of juries and the Fourth Amendment.",Yes

12/16/2022 13:35:28,Sam Harden,@samharden@mastodon.social,@samuelharden,legal non-profit technology,,Lawyer who works in technology for Pro Bono Net,Yes

12/16/2022 15:00:05,Kelly Phillips Erb,@taxgirl@c.im,@taxgirl,tax law,PA,,Yes

12/16/2022 16:28:02,Paul Friedl,@paulfriedl@mas.to,@paulfriedl4,"Data law, law and technology, constitutional law","EU, USA, Int, Germany",,Yes

12/16/2022 18:16:54,Ben Carter,@notbencarter@mastodon.social,@notbencarter,Public Interest/Nonprofit/Poverty Law,Kentucky,"Senior Counsel for the Kentucky Equal Justice Center; dad of 3, husband of 1",Yes

12/16/2022 19:39:14,cjdcat,@cjdcat@mastodon.art,@cjdcat,in-house,"CA, NY",,Yes
